Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,res 1n,
"C10, C11, C12, C13, C16, C17, C20, C9, C90",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,9,10p,
"C14, C15, C6, C71, C72",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,5,1n,
"C18, C19, C7",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,3,1nF,
"C2, C21, C22, C23, C4, C8",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,6,220p,
C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,res 220p,
C31,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,res,
"C32, C33, C87, C88",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4,100p,
"C34, C35, C36, C37, C39, C41, C42, C43, C44, C45, C52, C54, C56, C57, C60",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,15,10u,
"C38, C40",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,22u,
"C5, C89",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,22p,
"C51, C58, C59, C63, C64, C67, C68",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,7,100n,
"C53, C55",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,1u,
"C61, C62, C65, C66, C69, C70",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,6,10p,
"C73, C74, C75, C76, C77, C78, C79, C80, C81, C82",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,10,100p,
"C83, C84",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,47n,
"C85, C86",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,3n3,
"C92, C93",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,470p,
D1,SOT-23,1,BAV99,
D2,SOT-23,1,opt,
"D31, D32, D34, D35, D51, D52",LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,6,LED,
"D33, R11, R13, R14, R16, R33, R48, R50, R7",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,9,res,
D36,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,5V1,
J1,SMA_side_PCB,1,Conn_Coaxial,
J2,PinHeader_24GHz-NP,1,Conn_LO,
J3,PinHeader_24GHz-NP,1,Conn_TXIF,
J31,KF301-2P-NP,1,7.5V,
J32,KF301-2P-NP,1,PTT,
J33,KF301-2P-NP,1,Bias-T,
J4,PinHeader_24GHz-NP,1,Conn_RXIF,
J51,SMA_side_PCB,1,SMA 10MHz,
J52,IDC-Header_2x03_P2.54mm_SMD,1,ICSP,
L1,AirCoilSMD,1,res,
"L2, L5, L6",L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3,33n,
"L50, L51",L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,2,100u,
"L53, L54",L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,2,3n9,
"Q31, Q32",SOT-25_HandSoldering,2,FMG1AT148,
Q33,SOT-23,1,BC849,
"R1, R10",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,12R,
R12,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,0R,
"R15, R26, R47, R49",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4,0R,
"R17, R18, R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3,1K,
R19,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,68R,
"R2, R25, R3, R4, R5",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,5,220R,
R20,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,10R,
"R21, R22, R23, R24, R6",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,5,res,
R27,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,51R,
R28,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,150R,
"R31, R32, R35, R36, R58, R59, R60, R61",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,8,2K2,
R34,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,100R,
R37,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,4K7,
"R38, R40, R41, R42",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4,47K,
R39,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,22K,
