Designator,Mid X,Mid Y,Rotation,Layer
C1,134.8,-123.6,180.0,top
C10,113.0,-68.7,-90.0,top
C11,109.1,-63.1,0.0,top
C12,116.41,-63.1,180.0,top
C13,104.9,-61.2,0.0,top
C14,128.4,-81.5,90.0,top
C15,94.2,-61.2,0.0,top
C16,96.0,-64.8625,-90.0,top
C17,123.2,-88.6,90.0,top
C18,96.7625,-68.0,180.0,top
C19,125.32106,-83.49996,180.0,top
C2,130.37566,-114.40414,0.0,top
C20,129.5,-92.8,180.0,top
C21,115.3,-98.9375,-90.0,top
C22,120.5625,-92.0,180.0,top
C23,113.1,-91.6,0.0,top
C3,134.774999,-126.024999,180.0,top
C31,112.038,-134.804,0.0,top
C32,100.584,-139.954,0.0,top
C33,118.618,-140.081,0.0,top
C34,38.735,-122.936,180.0,top
C35,30.607,-107.95,180.0,top
C36,88.9,-131.445,90.0,top
C37,100.076,-131.2965,90.0,top
C38,24.003,-112.649,-90.0,top
C39,74.93,-123.063,180.0,top
C4,118.5,-98.9375,-90.0,top
C40,29.083,-116.586,90.0,top
C41,34.925,-122.936,0.0,top
C42,70.993,-123.063,0.0,top
C43,88.9,-127.635,-90.0,top
C44,102.108,-125.73,-90.0,top
C45,23.241,-116.586,90.0,top
C5,105.3,-92.6,-90.0,top
C51,67.5,-84.0,0.0,top
C52,85.9,-105.9,0.0,top
C53,78.3625,-110.7,0.0,top
C54,82.0,-105.9,180.0,top
C55,88.9,-111.6,-90.0,top
C56,93.0,-99.6,0.0,top
C57,78.4,-108.6,0.0,top
C58,46.2,-103.5,90.0,top
C59,91.0,-83.7,-90.0,top
C6,109.093,-89.154,180.0,top
C60,42.8,-89.6,-90.0,top
C61,48.1,-103.2625,90.0,top
C62,89.1,-83.9,-90.0,top
C63,52.5,-106.9,90.0,top
C64,84.8,-79.9625,-90.0,top
C65,52.2,-103.2,90.0,top
C66,85.1,-83.9,-90.0,top
C67,55.6,-103.4,90.0,top
C68,81.7,-84.5,-90.0,top
C69,53.8,-103.2,90.0,top
C7,103.0,-92.6,-90.0,top
C70,83.5,-84.7,-90.0,top
C71,58.3,-98.8,0.0,top
C72,79.4,-89.3,180.0,top
C73,44.9,-97.1,0.0,top
C74,92.6,-90.9,180.0,top
C75,49.6,-93.2,-90.0,top
C76,88.3,-93.6,90.0,top
C77,44.9,-100.2,0.0,top
C78,92.7,-87.0,180.0,top
C79,54.6,-96.4,180.0,top
C8,116.9,-85.4625,-90.0,top
C80,83.0,-91.6,0.0,top
C81,54.6375,-100.2,180.0,top
C82,82.7,-87.4,0.0,top
C83,45.6,-93.3,-90.0,top
C84,92.1,-93.8,90.0,top
C85,47.8,-93.3,-90.0,top
C86,90.1,-93.8375,90.0,top
C87,42.0,-92.9,0.0,top
C88,95.3,-95.2,180.0,top
C89,41.3,-99.0,0.0,top
C9,113.1,-78.3,-90.0,top
C90,95.6,-89.1,180.0,top
C92,48.3,-106.9375,90.0,top
C93,89.1,-79.9,-90.0,top
D1,122.66794,-107.8225,90.0,top
D2,122.94362,-122.0343,90.0,top
D31,48.7,-145.075,-90.0,top
D32,58.954,-145.173,90.0,top
D33,117.094,-136.144,180.0,top
D34,54.027,-145.121,90.0,top
D35,63.8,-145.175,90.0,top
D36,42.434,-120.777,180.0,top
D51,75.625,-91.3,0.0,top
